Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
DJ LeMahieu,NYY,2B,32,16,65,8,18,4,0,1,5,0,0,8,13,0,0,0,.277,.356,.385,.741
Gleyber Torres,NYY,SS,24,16,59,4,11,2,0,0,1,1,0,9,15,0,0,0,.186,.294,.220,.514
Gio Urshela,NYY,3B,29,16,58,6,16,4,0,2,7,1,0,3,13,0,0,0,.276,.311,.448,.759
Giancarlo Stanton,NYY,DH,31,15,57,5,9,1,0,3,12,0,0,6,21,0,0,0,.158,.238,.333,.571
Aaron Judge,NYY,OF,28,15,56,6,15,1,0,4,8,0,0,8,15,0,0,0,.268,.359,.500,.859
Aaron Hicks,NYY,OF,31,15,52,5,8,1,0,1,5,0,0,7,15,0,0,1,.154,.267,.231,.498
Gary Sanchez,NYY,C,28,14,45,6,9,1,0,2,4,0,0,7,12,0,0,1,.200,.321,.356,.677
Clint Frazier,NYY,OF,26,13,40,3,7,2,0,0,1,0,0,5,15,0,0,0,.175,.267,.225,.492
Jay Bruce,NYY,OF,34,10,34,3,4,1,0,1,3,0,0,5,13,0,0,0,.118,.231,.235,.466
Brett Gardner,NYY,OF,37,11,28,4,6,2,0,0,1,0,0,5,9,1,0,0,.214,.333,.286,.619
Rougned Odor,NYY,2B,27,8,25,3,3,0,0,1,3,0,0,1,3,0,0,1,.120,.185,.240,.425
Kyle Higashioka,NYY,C,31,8,13,3,4,1,0,2,4,0,0,3,2,0,0,0,.308,.438,.846,1.284
Mike Tauchman,NYY,OF,30,7,9,1,1,0,0,0,0,2,0,0,3,1,0,0,.111,.111,.111,.222
Mike Ford,NYY,1B,28,2,7,0,1,0,0,0,1,0,0,1,1,0,0,0,.143,.250,.143,.393
Tyler Wade,NYY,2B,26,6,3,2,1,0,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.666
